date,symbol,price,eps,book_value,sales,dividend,market_cap,debt,cash,ebitda
2025-11-13,601318.SH,59.13,7.56,54.474569370897264,0.0,2.2011038218562926,1070704871164.3501,12276535000000.0,702025000000.0,159427200000.0
2025-11-14,601318.SH,58.9,7.56,54.474569370897264,0.0,2.2011038218562926,1066540113505.5,12276535000000.0,702025000000.0,159427200000.0
2025-11-17,601318.SH,58.08,7.56,54.474569370897264,0.0,2.2011038218562926,1051691847069.6,12276535000000.0,702025000000.0,159427200000.0
2025-11-18,601318.SH,57.870000000000005,7.56,54.474569370897264,0.0,2.2011038218562926,1047889242250.65,12276535000000.0,702025000000.0,159427200000.0
2025-11-19,601318.SH,58.62,7.56,54.474569370897264,0.0,2.2011038218562926,1061469973746.8999,12276535000000.0,702025000000.0,159427200000.0
2025-11-20,601318.SH,58.45,7.56,54.474569370897264,0.0,2.2011038218562926,1058391674607.75,12276535000000.0,702025000000.0,159427200000.0
2025-11-21,601318.SH,57.160000000000004,7.56,54.474569370897264,0.0,2.2011038218562926,1035032816434.2001,12276535000000.0,702025000000.0,159427200000.0
2025-11-24,601318.SH,56.65,7.56,54.474569370897264,0.0,2.2011038218562926,1025797919016.75,12276535000000.0,702025000000.0,159427200000.0
2025-11-25,601318.SH,57.720000000000006,7.56,54.474569370897264,0.0,2.2011038218562926,1045173095951.4001,12276535000000.0,702025000000.0,159427200000.0
2025-11-26,601318.SH,58.03,7.56,54.474569370897264,0.0,2.2011038218562926,1050786464969.85,12276535000000.0,702025000000.0,159427200000.0
2025-11-27,601318.SH,57.59,7.56,54.474569370897264,0.0,2.2011038218562926,1042819102492.05,12276535000000.0,702025000000.0,159427200000.0
2025-11-28,601318.SH,57.239999999999995,7.56,54.474569370897264,0.0,2.2011038218562926,1036481427793.7999,12276535000000.0,702025000000.0,159427200000.0
2025-12-01,601318.SH,56.88,7.56,54.474569370897264,0.0,2.2011038218562926,1029962676675.6001,12276535000000.0,702025000000.0,159427200000.0
2025-12-02,601318.SH,57.050000000000004,7.56,54.474569370897264,0.0,2.2011038218562926,1033040975814.7501,12276535000000.0,702025000000.0,159427200000.0
2025-12-03,601318.SH,56.6,7.56,54.474569370897264,0.0,2.2011038218562926,1024892536917.0,12276535000000.0,702025000000.0,159427200000.0
2025-12-04,601318.SH,56.800000000000004,7.56,54.474569370897264,0.0,2.2011038218562926,1028514065316.0001,12276535000000.0,702025000000.0,159427200000.0
2025-12-05,601318.SH,60.24,7.56,54.474569370897264,0.0,2.2011038218562926,1090804353778.8,12276535000000.0,702025000000.0,159427200000.0
2025-12-08,601318.SH,61.65,7.56,54.474569370897264,0.0,2.2011038218562926,1116336128991.75,12276535000000.0,702025000000.0,159427200000.0
